,State,State Code,City,Occupation Code,Occupation,Employment Count,Average Hourly Wages,Average Annual Wages
56,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,3570,41.3,85900
57,AK,11260,"Anchorage, AK",15-1121,Computer Systems Analysts,610,38.51,80110
58,AK,11260,"Anchorage, AK",15-1122,Information Security Analysts,60,45.87,95400
59,AK,11260,"Anchorage, AK",15-1131,Computer Programmers,350,45.98,95640
60,AK,11260,"Anchorage, AK",15-1132,"Software Developers, Applications",230,*,*
61,AK,11260,"Anchorage, AK",15-1133,"Software Developers, Systems Software",**,62.59,130180
62,AK,11260,"Anchorage, AK",15-1134,Web Developers,80,27.47,57140
63,AK,11260,"Anchorage, AK",15-1141,Database Administrators,130,40.28,83790
64,AK,11260,"Anchorage, AK",15-1142,Network and Computer Systems Administrators,720,40.59,84430
65,AK,11260,"Anchorage, AK",15-1143,Computer Network Architects,70,54.16,112650
66,AK,11260,"Anchorage, AK",15-1151,Computer User Support Specialists,500,29.13,60590
67,AK,11260,"Anchorage, AK",15-1152,Computer Network Support Specialists,220,27.31,56810
68,AK,11260,"Anchorage, AK",15-1199,"Computer Occupations, All Other",360,45.96,95600
69,AK,11260,"Anchorage, AK",15-2031,Operations Research Analysts,70,45.09,93790
493,AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,570,37.49,77980
494,AK,21820,"Fairbanks, AK",15-1121,Computer Systems Analysts,50,39.07,81260
495,AK,21820,"Fairbanks, AK",15-1131,Computer Programmers,80,38.85,80800
496,AK,21820,"Fairbanks, AK",15-1132,"Software Developers, Applications",**,43.39,90260
497,AK,21820,"Fairbanks, AK",15-1142,Network and Computer Systems Administrators,80,38.03,79100
498,AK,21820,"Fairbanks, AK",15-1151,Computer User Support Specialists,80,31.33,65170
499,AK,21820,"Fairbanks, AK",15-1199,"Computer Occupations, All Other",100,40.64,84520
708,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-0000,Computer and Mathematical Occupations,350,26.99,56150
709,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-1142,Network and Computer Systems Administrators,50,29.39,61140
710,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-1151,Computer User Support Specialists,120,16.84,35020
929,AL,12220,"Auburn-Opelika, AL",15-0000,Computer and Mathematical Occupations,790,31.49,65500
930,AL,12220,"Auburn-Opelika, AL",15-1121,Computer Systems Analysts,60,31.37,65260
931,AL,12220,"Auburn-Opelika, AL",15-1131,Computer Programmers,130,30.82,64090
932,AL,12220,"Auburn-Opelika, AL",15-1132,"Software Developers, Applications",30,50.94,105960
933,AL,12220,"Auburn-Opelika, AL",15-1133,"Software Developers, Systems Software",30,43.49,90450
934,AL,12220,"Auburn-Opelika, AL",15-1142,Network and Computer Systems Administrators,110,35.92,74710
935,AL,12220,"Auburn-Opelika, AL",15-1151,Computer User Support Specialists,240,25.36,52750
936,AL,12220,"Auburn-Opelika, AL",15-1152,Computer Network Support Specialists,130,30.75,63960
1182,AL,13820,"Birmingham-Hoover, AL",15-0000,Computer and Mathematical Occupations,12130,38.5,80080
1183,AL,13820,"Birmingham-Hoover, AL",15-1121,Computer Systems Analysts,1590,36.63,76190
1184,AL,13820,"Birmingham-Hoover, AL",15-1122,Information Security Analysts,410,44.29,92130
1185,AL,13820,"Birmingham-Hoover, AL",15-1131,Computer Programmers,2140,39.28,81700
1186,AL,13820,"Birmingham-Hoover, AL",15-1132,"Software Developers, Applications",1500,42.17,87710
1187,AL,13820,"Birmingham-Hoover, AL",15-1133,"Software Developers, Systems Software",1000,46.83,97400
1188,AL,13820,"Birmingham-Hoover, AL",15-1134,Web Developers,170,34.87,72540
1189,AL,13820,"Birmingham-Hoover, AL",15-1141,Database Administrators,660,43.39,90260
1190,AL,13820,"Birmingham-Hoover, AL",15-1142,Network and Computer Systems Administrators,1550,39.84,82860
1191,AL,13820,"Birmingham-Hoover, AL",15-1143,Computer Network Architects,380,51.81,107770
1192,AL,13820,"Birmingham-Hoover, AL",15-1151,Computer User Support Specialists,1780,24.59,51140
1193,AL,13820,"Birmingham-Hoover, AL",15-1152,Computer Network Support Specialists,360,32.76,68140
1194,AL,13820,"Birmingham-Hoover, AL",15-1199,"Computer Occupations, All Other",270,41.66,86660
1195,AL,13820,"Birmingham-Hoover, AL",15-2011,Actuaries,40,41.73,86800
1196,AL,13820,"Birmingham-Hoover, AL",15-2031,Operations Research Analysts,100,39.1,81320
1197,AL,13820,"Birmingham-Hoover, AL",15-2041,Statisticians,80,33.47,69610
1702,AL,19300,"Daphne-Fairhope-Foley, AL",15-0000,Computer and Mathematical Occupations,310,29.01,60350
1703,AL,19300,"Daphne-Fairhope-Foley, AL",15-1131,Computer Programmers,70,30.12,62650
1704,AL,19300,"Daphne-Fairhope-Foley, AL",15-1134,Web Developers,40,23.7,49290
1705,AL,19300,"Daphne-Fairhope-Foley, AL",15-1142,Network and Computer Systems Administrators,40,35.04,72880
1706,AL,19300,"Daphne-Fairhope-Foley, AL",15-1151,Computer User Support Specialists,80,20.27,42160
1966,AL,19460,"Decatur, AL",15-0000,Computer and Mathematical Occupations,440,33.08,68810
1967,AL,19460,"Decatur, AL",15-1121,Computer Systems Analysts,40,42.51,88420
1968,AL,19460,"Decatur, AL",15-1131,Computer Programmers,80,40.89,85050
1969,AL,19460,"Decatur, AL",15-1142,Network and Computer Systems Administrators,80,34.58,71920
1970,AL,19460,"Decatur, AL",15-1151,Computer User Support Specialists,150,22.74,47300
2201,AL,20020,"Dothan, AL",15-0000,Computer and Mathematical Occupations,330,27.9,58040
2202,AL,20020,"Dothan, AL",15-1131,Computer Programmers,80,32.49,67570
2203,AL,20020,"Dothan, AL",15-1142,Network and Computer Systems Administrators,80,28.48,59240
2204,AL,20020,"Dothan, AL",15-1151,Computer User Support Specialists,70,21.97,45700
2434,AL,22520,"Florence-Muscle Shoals, AL",15-0000,Computer and Mathematical Occupations,220,27.31,56810
2435,AL,22520,"Florence-Muscle Shoals, AL",15-1131,Computer Programmers,40,29.07,60470
2436,AL,22520,"Florence-Muscle Shoals, AL",15-1142,Network and Computer Systems Administrators,60,28.34,58950
2437,AL,22520,"Florence-Muscle Shoals, AL",15-1151,Computer User Support Specialists,50,22.07,45910
2666,AL,23460,"Gadsden, AL",15-0000,Computer and Mathematical Occupations,70,30.41,63260
2865,AL,26620,"Huntsville, AL",15-0000,Computer and Mathematical Occupations,14290,46.24,96180
2866,AL,26620,"Huntsville, AL",15-1111,Computer and Information Research Scientists,**,69.51,144580
2867,AL,26620,"Huntsville, AL",15-1121,Computer Systems Analysts,1450,43.98,91480
2868,AL,26620,"Huntsville, AL",15-1122,Information Security Analysts,460,42.63,88660
2869,AL,26620,"Huntsville, AL",15-1131,Computer Programmers,2730,50.18,104380
2870,AL,26620,"Huntsville, AL",15-1132,"Software Developers, Applications",2780,48.53,100940
2871,AL,26620,"Huntsville, AL",15-1133,"Software Developers, Systems Software",2180,53.05,110340
2872,AL,26620,"Huntsville, AL",15-1134,Web Developers,80,30.68,63820
2873,AL,26620,"Huntsville, AL",15-1141,Database Administrators,390,43.97,91450
2874,AL,26620,"Huntsville, AL",15-1142,Network and Computer Systems Administrators,860,35.62,74080
2875,AL,26620,"Huntsville, AL",15-1143,Computer Network Architects,290,47.69,99200
2876,AL,26620,"Huntsville, AL",15-1151,Computer User Support Specialists,1050,22.3,46390
2877,AL,26620,"Huntsville, AL",15-1152,Computer Network Support Specialists,170,32.74,68100
2878,AL,26620,"Huntsville, AL",15-1199,"Computer Occupations, All Other",710,43.58,90640
2879,AL,26620,"Huntsville, AL",15-2031,Operations Research Analysts,530,46.68,97090
3285,AL,33660,"Mobile, AL",15-0000,Computer and Mathematical Occupations,3010,29.81,62010
3286,AL,33660,"Mobile, AL",15-1121,Computer Systems Analysts,200,32.98,68590
3287,AL,33660,"Mobile, AL",15-1131,Computer Programmers,470,34.21,71170
3288,AL,33660,"Mobile, AL",15-1132,"Software Developers, Applications",430,32.33,67240
3289,AL,33660,"Mobile, AL",15-1133,"Software Developers, Systems Software",170,36.94,76830
3290,AL,33660,"Mobile, AL",15-1134,Web Developers,60,24.7,51370
3291,AL,33660,"Mobile, AL",15-1141,Database Administrators,80,34.86,72520
3292,AL,33660,"Mobile, AL",15-1142,Network and Computer Systems Administrators,470,31.76,66070
3293,AL,33660,"Mobile, AL",15-1151,Computer User Support Specialists,950,23.12,48080
3294,AL,33660,"Mobile, AL",15-1152,Computer Network Support Specialists,110,27.33,56860
3700,AL,33860,"Montgomery, AL",15-0000,Computer and Mathematical Occupations,3980,37.43,77850
3701,AL,33860,"Montgomery, AL",15-1121,Computer Systems Analysts,290,39.72,82610
3702,AL,33860,"Montgomery, AL",15-1122,Information Security Analysts,90,43.95,91410
3703,AL,33860,"Montgomery, AL",15-1131,Computer Programmers,900,37.37,77740
3704,AL,33860,"Montgomery, AL",15-1132,"Software Developers, Applications",350,42.24,87870
3705,AL,33860,"Montgomery, AL",15-1133,"Software Developers, Systems Software",170,45.44,94510
3706,AL,33860,"Montgomery, AL",15-1134,Web Developers,60,31.88,66310
3707,AL,33860,"Montgomery, AL",15-1141,Database Administrators,450,37.41,77820
3708,AL,33860,"Montgomery, AL",15-1142,Network and Computer Systems Administrators,390,33.82,70340
3709,AL,33860,"Montgomery, AL",15-1143,Computer Network Architects,90,46.2,96090
3710,AL,33860,"Montgomery, AL",15-1151,Computer User Support Specialists,490,26.72,55580
3711,AL,33860,"Montgomery, AL",15-1152,Computer Network Support Specialists,60,26.87,55900
3712,AL,33860,"Montgomery, AL",15-1199,"Computer Occupations, All Other",560,42.29,87960
3713,AL,33860,"Montgomery, AL",15-2041,Statisticians,60,28.63,59560
4092,AL,46220,"Tuscaloosa, AL",15-0000,Computer and Mathematical Occupations,1100,32.02,66600
4093,AL,46220,"Tuscaloosa, AL",15-1121,Computer Systems Analysts,80,38.48,80050
4094,AL,46220,"Tuscaloosa, AL",15-1131,Computer Programmers,350,34.49,71740
4095,AL,46220,"Tuscaloosa, AL",15-1132,"Software Developers, Applications",50,35.76,74380
4096,AL,46220,"Tuscaloosa, AL",15-1134,Web Developers,30,26.69,55520
4097,AL,46220,"Tuscaloosa, AL",15-1141,Database Administrators,40,33.62,69930
4098,AL,46220,"Tuscaloosa, AL",15-1142,Network and Computer Systems Administrators,110,31.57,65660
4099,AL,46220,"Tuscaloosa, AL",15-1151,Computer User Support Specialists,300,22.36,46500
4448,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-0000,Computer and Mathematical Occupations,8760,35.44,73710
4449,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1121,Computer Systems Analysts,1570,34.25,71240
4450,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1122,Information Security Analysts,510,43.15,89740
4451,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1131,Computer Programmers,500,31.69,65920
4452,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1132,"Software Developers, Applications",2410,43.71,90920
4453,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1133,"Software Developers, Systems Software",460,41.01,85290
4454,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1134,Web Developers,100,27.08,56330
4455,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1141,Database Administrators,150,38.83,80760
4456,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1142,Network and Computer Systems Administrators,590,34.1,70930
4457,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1143,Computer Network Architects,270,42.18,87740
4458,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1151,Computer User Support Specialists,780,20.52,42680
4459,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1152,Computer Network Support Specialists,790,20.61,42880
4460,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1199,"Computer Occupations, All Other",300,31.58,65700
4461,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-2031,Operations Research Analysts,120,32.81,68250
4885,AR,22900,"Fort Smith, AR-OK",15-0000,Computer and Mathematical Occupations,1260,31.21,64910
4886,AR,22900,"Fort Smith, AR-OK",15-1121,Computer Systems Analysts,90,28.76,59820
4887,AR,22900,"Fort Smith, AR-OK",15-1122,Information Security Analysts,50,29.3,60940
4888,AR,22900,"Fort Smith, AR-OK",15-1131,Computer Programmers,100,34.28,71310
4889,AR,22900,"Fort Smith, AR-OK",15-1132,"Software Developers, Applications",160,38,79040
4890,AR,22900,"Fort Smith, AR-OK",15-1133,"Software Developers, Systems Software",90,40.61,84460
4891,AR,22900,"Fort Smith, AR-OK",15-1141,Database Administrators,40,32.69,68000
4892,AR,22900,"Fort Smith, AR-OK",15-1142,Network and Computer Systems Administrators,240,32.17,66910
4893,AR,22900,"Fort Smith, AR-OK",15-1143,Computer Network Architects,**,43.83,91180
4894,AR,22900,"Fort Smith, AR-OK",15-1151,Computer User Support Specialists,240,18.15,37760
4895,AR,22900,"Fort Smith, AR-OK",15-1152,Computer Network Support Specialists,70,25.38,52800
4896,AR,22900,"Fort Smith, AR-OK",15-1199,"Computer Occupations, All Other",70,35.9,74680
5212,AR,26300,"Hot Springs, AR",15-0000,Computer and Mathematical Occupations,180,25.55,53140
5213,AR,26300,"Hot Springs, AR",15-1142,Network and Computer Systems Administrators,40,24.7,51370
5214,AR,26300,"Hot Springs, AR",15-1151,Computer User Support Specialists,70,16.52,34360
5413,AR,27860,"Jonesboro, AR",15-0000,Computer and Mathematical Occupations,520,24.91,51820
5414,AR,27860,"Jonesboro, AR",15-1121,Computer Systems Analysts,30,27.16,56500
5415,AR,27860,"Jonesboro, AR",15-1131,Computer Programmers,50,34.07,70860
5416,AR,27860,"Jonesboro, AR",15-1132,"Software Developers, Applications",40,28.06,58360
5417,AR,27860,"Jonesboro, AR",15-1142,Network and Computer Systems Administrators,100,27.69,57590
5418,AR,27860,"Jonesboro, AR",15-1151,Computer User Support Specialists,150,17.43,36250
5419,AR,27860,"Jonesboro, AR",15-2031,Operations Research Analysts,60,24.89,51760
5697,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-0000,Computer and Mathematical Occupations,10300,33.32,69310
5698,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-1121,Computer Systems Analysts,1430,33.32,69310
5699,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-1122,Information Security Analysts,**,39.58,82340
5700,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-1131,Computer Programmers,1250,34.74,72260
5701,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-1132,"Software Developers, Applications",940,39.09,81310
5702,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-1133,"Software Developers, Systems Software",630,38.75,80590
5703,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-1134,Web Developers,160,25.18,52380
5704,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-1141,Database Administrators,370,39.83,82850
5705,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-1142,Network and Computer Systems Administrators,1320,33.03,68700
5706,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-1143,Computer Network Architects,390,41.19,85680
5707,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-1151,Computer User Support Specialists,1390,21.42,44550
5708,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-1152,Computer Network Support Specialists,590,24.02,49960
5709,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-1199,"Computer Occupations, All Other",290,38.58,80240
5710,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-2011,Actuaries,**,54.63,113620
5711,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-2031,Operations Research Analysts,250,29.91,62200
5712,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-2041,Statisticians,140,27.43,57050
6188,AR,38220,"Pine Bluff, AR",15-0000,Computer and Mathematical Occupations,270,28.28,58830
6189,AR,38220,"Pine Bluff, AR",15-1151,Computer User Support Specialists,80,19.46,40480
6190,AR,38220,"Pine Bluff, AR",15-2031,Operations Research Analysts,40,22.67,47150
6364,AZ,22380,"Flagstaff, AZ",15-0000,Computer and Mathematical Occupations,890,33.39,69460
6365,AZ,22380,"Flagstaff, AZ",15-1121,Computer Systems Analysts,70,33.36,69400
6366,AZ,22380,"Flagstaff, AZ",15-1131,Computer Programmers,50,29.71,61810
6367,AZ,22380,"Flagstaff, AZ",15-1132,"Software Developers, Applications",110,41.78,86890
6368,AZ,22380,"Flagstaff, AZ",15-1133,"Software Developers, Systems Software",40,*,*
6369,AZ,22380,"Flagstaff, AZ",15-1134,Web Developers,50,34.03,70790
6370,AZ,22380,"Flagstaff, AZ",15-1142,Network and Computer Systems Administrators,110,35.81,74480
6371,AZ,22380,"Flagstaff, AZ",15-1151,Computer User Support Specialists,180,24.48,50910
6372,AZ,22380,"Flagstaff, AZ",15-1152,Computer Network Support Specialists,60,28.17,58600
6373,AZ,22380,"Flagstaff, AZ",15-1199,"Computer Occupations, All Other",150,30.85,64170
6629,AZ,29420,"Lake Havasu City-Kingman, AZ",15-0000,Computer and Mathematical Occupations,350,29.26,60870
6630,AZ,29420,"Lake Havasu City-Kingman, AZ",15-1121,Computer Systems Analysts,40,39.77,82710
6631,AZ,29420,"Lake Havasu City-Kingman, AZ",15-1142,Network and Computer Systems Administrators,40,30.65,63750
6632,AZ,29420,"Lake Havasu City-Kingman, AZ",15-1151,Computer User Support Specialists,110,17.84,37110
6633,AZ,29420,"Lake Havasu City-Kingman, AZ",15-1199,"Computer Occupations, All Other",40,45.41,94450
6908,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-0000,Computer and Mathematical Occupations,76010,40.34,83900
6909,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-1111,Computer and Information Research Scientists,**,59.89,124570
6910,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-1121,Computer Systems Analysts,11100,43.03,89510
6911,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-1122,Information Security Analysts,2360,43.07,89590
6912,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-1131,Computer Programmers,3590,43.32,90100
6913,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-1132,"Software Developers, Applications",13210,47.1,97960
6914,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-1133,"Software Developers, Systems Software",7890,49.49,102940
6915,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-1134,Web Developers,2140,34.62,72010
6916,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-1141,Database Administrators,2040,41.86,87060
6917,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-1142,Network and Computer Systems Administrators,5990,40.97,85220
6918,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-1143,Computer Network Architects,2520,49.94,103880
6919,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-1151,Computer User Support Specialists,11120,24.39,50740
6920,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-1152,Computer Network Support Specialists,4180,32.84,68310
6921,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-1199,"Computer Occupations, All Other",5270,40.25,83720
6922,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-2011,Actuaries,150,*,*
6923,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-2031,Operations Research Analysts,3480,34.28,71300
6924,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-2041,Statisticians,850,36,74880
7564,AZ,39140,"Prescott, AZ",15-0000,Computer and Mathematical Occupations,530,30.47,63380
7565,AZ,39140,"Prescott, AZ",15-1121,Computer Systems Analysts,50,35.27,73350
7566,AZ,39140,"Prescott, AZ",15-1131,Computer Programmers,**,24.48,50910
7567,AZ,39140,"Prescott, AZ",15-1132,"Software Developers, Applications",30,32.22,67020
7568,AZ,39140,"Prescott, AZ",15-1134,Web Developers,**,21.04,43750
7569,AZ,39140,"Prescott, AZ",15-1142,Network and Computer Systems Administrators,60,34.59,71960
7570,AZ,39140,"Prescott, AZ",15-1151,Computer User Support Specialists,150,21.67,45070
7571,AZ,39140,"Prescott, AZ",15-1199,"Computer Occupations, All Other",60,44.82,93230
7852,AZ,43420,"Sierra Vista-Douglas, AZ",15-0000,Computer and Mathematical Occupations,1770,41.72,86770
7853,AZ,43420,"Sierra Vista-Douglas, AZ",15-1111,Computer and Information Research Scientists,80,50.67,105390
7854,AZ,43420,"Sierra Vista-Douglas, AZ",15-1121,Computer Systems Analysts,250,42.51,88430
7855,AZ,43420,"Sierra Vista-Douglas, AZ",15-1122,Information Security Analysts,120,42.41,88220
7856,AZ,43420,"Sierra Vista-Douglas, AZ",15-1132,"Software Developers, Applications",50,41.52,86350
7857,AZ,43420,"Sierra Vista-Douglas, AZ",15-1133,"Software Developers, Systems Software",160,48.4,100680
7858,AZ,43420,"Sierra Vista-Douglas, AZ",15-1142,Network and Computer Systems Administrators,190,34.32,71390
7859,AZ,43420,"Sierra Vista-Douglas, AZ",15-1143,Computer Network Architects,50,42.03,87420
7860,AZ,43420,"Sierra Vista-Douglas, AZ",15-1151,Computer User Support Specialists,140,22.65,47120
7861,AZ,43420,"Sierra Vista-Douglas, AZ",15-1152,Computer Network Support Specialists,110,38.71,80520
7862,AZ,43420,"Sierra Vista-Douglas, AZ",15-1199,"Computer Occupations, All Other",510,47.44,98670
7863,AZ,43420,"Sierra Vista-Douglas, AZ",15-2031,Operations Research Analysts,40,37.36,77710
8090,AZ,46060,"Tucson, AZ",15-0000,Computer and Mathematical Occupations,12210,38.78,80670
8091,AZ,46060,"Tucson, AZ",15-1111,Computer and Information Research Scientists,70,46.45,96620
8092,AZ,46060,"Tucson, AZ",15-1121,Computer Systems Analysts,1440,37.96,78950
8093,AZ,46060,"Tucson, AZ",15-1122,Information Security Analysts,260,37.87,78770
8094,AZ,46060,"Tucson, AZ",15-1131,Computer Programmers,650,42.49,88380
8095,AZ,46060,"Tucson, AZ",15-1132,"Software Developers, Applications",1400,39.3,81730
8096,AZ,46060,"Tucson, AZ",15-1133,"Software Developers, Systems Software",3140,51.05,106180
8097,AZ,46060,"Tucson, AZ",15-1134,Web Developers,280,31.64,65820
8098,AZ,46060,"Tucson, AZ",15-1141,Database Administrators,240,36.66,76260
8099,AZ,46060,"Tucson, AZ",15-1142,Network and Computer Systems Administrators,850,35.53,73890
8100,AZ,46060,"Tucson, AZ",15-1143,Computer Network Architects,150,38.11,79260
8101,AZ,46060,"Tucson, AZ",15-1151,Computer User Support Specialists,1880,24.63,51230
8102,AZ,46060,"Tucson, AZ",15-1152,Computer Network Support Specialists,600,26.73,55590
8103,AZ,46060,"Tucson, AZ",15-1199,"Computer Occupations, All Other",940,36.75,76440
8104,AZ,46060,"Tucson, AZ",15-2031,Operations Research Analysts,210,39.81,82810
8105,AZ,46060,"Tucson, AZ",15-2041,Statisticians,100,39.92,83030
8590,AZ,49740,"Yuma, AZ",15-0000,Computer and Mathematical Occupations,510,33.72,70130
8591,AZ,49740,"Yuma, AZ",15-1121,Computer Systems Analysts,50,34.61,72000
8592,AZ,49740,"Yuma, AZ",15-1132,"Software Developers, Applications",**,44.4,92360
8593,AZ,49740,"Yuma, AZ",15-1142,Network and Computer Systems Administrators,70,30.28,62980
8594,AZ,49740,"Yuma, AZ",15-1151,Computer User Support Specialists,110,21.38,44460
8595,AZ,49740,"Yuma, AZ",15-1199,"Computer Occupations, All Other",70,39.98,83160
8596,AZ,49740,"Yuma, AZ",15-2031,Operations Research Analysts,30,36.88,76720
8875,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-0000,Computer and Mathematical Occupations,55490,45.75,95160
8876,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-1111,Computer and Information Research Scientists,210,47.26,98300
8877,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-1121,Computer Systems Analysts,5550,46.39,96490
8878,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-1122,Information Security Analysts,860,46.43,96580
8879,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-1131,Computer Programmers,3230,43.06,89570
8880,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-1132,"Software Developers, Applications",10070,58.23,121120
8881,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-1133,"Software Developers, Systems Software",8110,55.95,116380
8882,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-1134,Web Developers,2260,36.9,76760
8883,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-1141,Database Administrators,1330,42,87350
8884,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-1142,Network and Computer Systems Administrators,4480,43.22,89910
8885,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-1143,Computer Network Architects,1830,51.35,106810
8886,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-1151,Computer User Support Specialists,8150,28.61,59520
8887,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-1152,Computer Network Support Specialists,2000,35.18,73180
8888,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-1199,"Computer Occupations, All Other",5240,43.81,91130
8889,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-2011,Actuaries,120,50.67,105400
8890,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-2031,Operations Research Analysts,1760,41.88,87100
8891,CA,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-2041,Statisticians,260,43.21,89870
9520,CA,12540,"Bakersfield, CA",15-0000,Computer and Mathematical Occupations,4170,42.25,87890
9521,CA,12540,"Bakersfield, CA",15-1111,Computer and Information Research Scientists,290,52.57,109340
9522,CA,12540,"Bakersfield, CA",15-1121,Computer Systems Analysts,490,44.71,93000
9523,CA,12540,"Bakersfield, CA",15-1122,Information Security Analysts,60,40.73,84720
9524,CA,12540,"Bakersfield, CA",15-1131,Computer Programmers,140,38.71,80510
9525,CA,12540,"Bakersfield, CA",15-1132,"Software Developers, Applications",580,51.81,107770
9526,CA,12540,"Bakersfield, CA",15-1133,"Software Developers, Systems Software",170,53.75,111810
9527,CA,12540,"Bakersfield, CA",15-1134,Web Developers,**,29.16,60650
9528,CA,12540,"Bakersfield, CA",15-1141,Database Administrators,70,38.04,79120
9529,CA,12540,"Bakersfield, CA",15-1142,Network and Computer Systems Administrators,390,38.45,79970
9530,CA,12540,"Bakersfield, CA",15-1143,Computer Network Architects,130,42.94,89320
9531,CA,12540,"Bakersfield, CA",15-1151,Computer User Support Specialists,450,25.05,52110
9532,CA,12540,"Bakersfield, CA",15-1152,Computer Network Support Specialists,180,28.62,59530
9533,CA,12540,"Bakersfield, CA",15-1199,"Computer Occupations, All Other",740,43.96,91440
9534,CA,12540,"Bakersfield, CA",15-2031,Operations Research Analysts,240,43.6,90690
9983,CA,17020,"Chico, CA",15-0000,Computer and Mathematical Occupations,1400,35.52,73880
9984,CA,17020,"Chico, CA",15-1121,Computer Systems Analysts,250,33.67,70030
9985,CA,17020,"Chico, CA",15-1131,Computer Programmers,60,39.8,82780
9986,CA,17020,"Chico, CA",15-1132,"Software Developers, Applications",260,53.38,111040
9987,CA,17020,"Chico, CA",15-1133,"Software Developers, Systems Software",40,59.98,124760
9988,CA,17020,"Chico, CA",15-1134,Web Developers,70,23.97,49870
9989,CA,17020,"Chico, CA",15-1141,Database Administrators,50,41.24,85770
9990,CA,17020,"Chico, CA",15-1142,Network and Computer Systems Administrators,100,37.8,78620
